user_id,business_id,stars,user_idx,business_idx
smOvOajNG0lS4Pq7d8g4JQ,RZtGWDLCAtuipwaZ-UfjmQ,4.0,9802,388
IQsF3Rc6IgCzjVV9DE8KXg,eFvzHawVJofxSnD7TgbZtg,5.0,3341,572
ZGjgfSvjQK886kiTzLwfLQ,EtKSTHV5Qx_Q7Aur9o4kQQ,5.0,6271,215
IKbjLnfBQtEyVzEu8CuOLg,VJEzpfLs_Jnzgqh5A_FVTg,4.0,3320,438
NUtIAX-ygn474tDg5nmesg,6LCZLGa09Qifn6rG7-DNrg,4.0,4175,109
Zs8Zk3sgh5JxRmoZW4PJcg,3ZynJ94VpIdDlaArmEp2Rg,3.0,6370,66
OkjeFppodgJP_CvB84cJYw,FHNIvNgh3fS7VZQq2Y3dsA,3.0,4419,221
FEI0XkOrUHufSW_rfOTPAA,Dv6RfXLYe1atjgz3Xf4GGw,4.0,2784,201
x-LrGPXN7WFX15Qk9B6_YQ,eMiN8nm70jjKg8izikVWDA,4.0,10554,576
ci7Q6NvXQ8UZrBHusVX18g,V6Om7YZhlRQRU7WfuxHq8Q,4.0,7059,434
11xwVSDv1ytjcyvUiyBWaw,-OIUunijjcq_ZzyyQhPPFQ,1.0,361,6
ndgHYecgAWEqtjnjE7LtfA,MMRRS6YhVRx_iN5-JhMRYg,4.0,8937,326
wABHp4fGUC-0acRKhmQO2A,MMRRS6YhVRx_iN5-JhMRYg,5.0,10416,326
OfhZlqYMrCVAhM-bt_cQug,J-ciDDEdIHMcChGIyKZnOg,4.0,4403,274
QuZKJnltihmZ8jhwfxPeJA,QWqKTWQ2OiDgo3dzNkpung,5.0,4809,376
JggphOM7FIbvUyPcsfcNTw,9gObo5ltOMo6UgsaXaHPWA,5.0,3562,144
mzXDuhZBPdHfMIk1YXP0mQ,mUIBtlWNPD7sz3rGGWQ1RA,5.0,8808,695
2dyfZNhtyuHdestczTgWjQ,Dv6RfXLYe1atjgz3Xf4GGw,4.0,632,201
DEiAhP-xb4i-71foPKSqxQ,cXSyVvOr9YRN9diDkaWs0Q,5.0,2414,548
xjQSpme1Z7Xw8XehRLpYuA,EtKSTHV5Qx_Q7Aur9o4kQQ,4.0,10687,215
au30JemWvCjjTp5vWdOLow,Gw7UW0E2BguzL9suQnwDeg,5.0,6738,242
FBRjdSizGuMyxQuSSwzarg,htO_nlxkEsYHzDrtbiUxew,3.0,2774,634
dme9K6sQrgpojAay5r8IAA,JUlsvVAvZvGHWFfkKm0nlg,3.0,7234,280
vFd8aBLg1kFcd0kCkoi-xw,GUMVStVaJfWmCIpQA4TtHg,4.0,10234,234
UYU71DRx-UDAee-eFOFfWw,hUX1yAimviBIhb21D_KtcQ,3.0,5451,625
Yr7tRi9b5-Na2FWP5ihG2A,gCcJTKC40CL0XtYYGfcXDw,4.0,6187,603
Xj4NPAq2efs4mzS4kFHGyQ,eMiN8nm70jjKg8izikVWDA,3.0,5983,576
JW5W4OZCohTvZlRF1jzrTg,u7_3L1NBWgxhBM_B-cmmnA,4.0,3528,797
LcVPBNUeENzPlXNbZ2jTQw,U30ggGzFpXvc2NZYwOW3qg,5.0,3864,422
RhqQNwLWCHArpTwhlaiM9A,9gObo5ltOMo6UgsaXaHPWA,4.0,4951,144
nBUnQnecIYYWuxk0g5njhw,j99PtxlKTW_u5alE4jiqHQ,5.0,8849,651
KhhlZrnwPbJsgLN5tNrIFQ,Oun4NN-u5yiHIxDqtJnxgA,5.0,3724,357
xWo5LSE7Tv3gNp-rGE9qZw,u7_3L1NBWgxhBM_B-cmmnA,3.0,10641,797
7ktyPHE-NGnWxarOqjIQiQ,EtKSTHV5Qx_Q7Aur9o4kQQ,4.0,1495,215
pqlLJVba9KAtahkjvNINYg,Dv6RfXLYe1atjgz3Xf4GGw,4.0,9308,201
Mj8mM0pGHEsTLn5uuU9mdw,FHNIvNgh3fS7VZQq2Y3dsA,4.0,4057,221
uJM_dR32MnrPztZZaC1rSQ,EtKSTHV5Qx_Q7Aur9o4kQQ,5.0,10082,215
5Fk3pRHy5iqu3Bvo_zj5DA,SIoCIxjn4jLt2O-4DajWJw,3.0,1064,402
WuiEYopWZOWOuWQD87fVSw,14ZGwnDyydXdSBsLXpSUrA,4.0,5852,35
vXJ7qdNJY4Rjv0zcKkdKYg,HTqXI5S2XcSlh_ylx9sE6g,5.0,10292,247
6pMt6lcJwgPbAgSB0nE34Q,E1gf1YIWOo1BgzMUwJtEZg,3.0,1348,204
vrdC6sQszyOc66lvoPqEYQ,7lwe7n-Yc-V9E_HfLAeylg,4.0,10364,121
pamPk2N-OrlMjrY_cFJN5Q,O6hY9yenifuRXrpc4TfgsQ,5.0,9269,345
1R7aepKjkARInsWdHRDJuw,htO_nlxkEsYHzDrtbiUxew,5.0,431,634
ZOTO_NYeLXgkzAlI4UaTGA,gCcJTKC40CL0XtYYGfcXDw,5.0,6292,603
jDSzMndkrWzYD9jOf84pMg,JUlsvVAvZvGHWFfkKm0nlg,4.0,8172,280
TPdzRQGdxoF3MOrJFrASLQ,9gObo5ltOMo6UgsaXaHPWA,5.0,5266,144
sgK8_cpe6FTk2HD0P27K0g,JUlsvVAvZvGHWFfkKm0nlg,4.0,9788,280
NUtIAX-ygn474tDg5nmesg,rQW9iupvhk6ScPn2VPNLVQ,5.0,4175,768
gCRBwUVGLxoxm85deceFLA,Dv6RfXLYe1atjgz3Xf4GGw,4.0,7635,201
dCehRsK_TxjZ3hHfwkVG2A,Z5po0aTuzKKblek5y6Sp8Q,5.0,7151,483
hezraFjsRqlSDaAKWf7tLQ,vCHNWdW-ys-nWUx3Cpvk8Q,5.0,7899,814
ijXtS4-TyUDb0bUFngI38g,uE40984_YDgVvPeRpFcCaQ,5.0,8085,801
b47MFJu3LYjv6xmCRv0dUA,SIoCIxjn4jLt2O-4DajWJw,3.0,6767,402
UiIwapR1KXxPoZOkpuQ1KA,htO_nlxkEsYHzDrtbiUxew,5.0,5476,634
USD9k93iOIB88v93B5iBcw,j99PtxlKTW_u5alE4jiqHQ,2.0,5437,651
BjuyUyTG5B1AXHEjHnJO6w,-Or44IdY51Ukd618kikmtA,5.0,2137,7
d0FbFaZuJWfai0RYsUS7qw,uIZwBkvWicqyWraXvYOipw,5.0,7106,804
XiEkBO-U69VBYqPYGGg1vA,B-DiQpcSTJ7oMMnwzbAGTQ,5.0,5981,164
SsDKVQsHdBaMCbp9UqOGSA,Z5po0aTuzKKblek5y6Sp8Q,4.0,5173,483
0v9ouDw3jLW4dAt9Z60dWg,B-DiQpcSTJ7oMMnwzbAGTQ,5.0,325,164
d5FtPRF4tMb8Iyzr_HPJew,LnZvGYbqozanOSevcftnrw,3.0,7123,316
A8OMSgdQ8bgsfMs69VKSXw,JomDoQafikclSVVCPkWjnA,4.0,1882,284
7M6eHyuAhtHl29H4HsgzBA,Dv6RfXLYe1atjgz3Xf4GGw,5.0,1436,201
w5iiF7drL4mKBBO8oAUQqg,MMRRS6YhVRx_iN5-JhMRYg,3.0,10404,326
xRaI1T8xgNVuIDK3_nmOnA,Q-prSTdggNlxAEFV88BZOw,5.0,10624,369
V9n2Qyr-dvNg00BwMWqquQ,OHzX-ZD9qyoeoxR8Z0dlIA,5.0,5556,348
_Snvv_nGfpctBG4OOWwGLg,Dv6RfXLYe1atjgz3Xf4GGw,3.0,6464,201
872FORir4mzJpEM74EbXdw,4_W5pstoN1166TGjjPOrMg,2.0,1557,82
g9RJ3rbeIp5ZbMnGPqvOUA,dChRGpit9fM_kZK5pafNyA,5.0,7627,559
88Ij88GMC7tcIegOicRdYA,VRnJgj0IvxoksHppE78X2Q,2.0,1563,441
wABHp4fGUC-0acRKhmQO2A,uE40984_YDgVvPeRpFcCaQ,4.0,10416,801
Jt60HrXZ3SkFglPzrtP0lw,r-kln94enJMMmCWmzbXO2g,4.0,3597,761
w4PqT-9vVSVpamDvTHnsDw,VJEzpfLs_Jnzgqh5A_FVTg,3.0,10401,438
aN3hqwdyeT6AmyUq3GgIIA,d_tRshM-w6S4QxE4VVi8tQ,4.0,6642,565
EZuDkzg-Lz2uvFOB_fWfOw,eaDZlSuVS0EY67Ke6pRP6Q,5.0,2672,580
jYknm57qpeZzTueiVIYTOA,EtKSTHV5Qx_Q7Aur9o4kQQ,5.0,8230,215
NqZJMXmwEtirJvx-qpyLmQ,mUIBtlWNPD7sz3rGGWQ1RA,4.0,4247,695
VCkAwaDIFDpr3_bg71o2kw,J-ciDDEdIHMcChGIyKZnOg,4.0,5563,274
vEFJfeis4LEuM-y4qZvXAA,htO_nlxkEsYHzDrtbiUxew,5.0,10226,634
BsMKUneO8WI0NIuXTnLVaQ,d_tRshM-w6S4QxE4VVi8tQ,4.0,2170,565
oN9x7xa6aitLx1QBVW_laQ,I5KZm-NnxYeEQsmp6nK5_w,5.0,9067,258
ta56z7MLe6lXyYqjT4B2cA,d_tRshM-w6S4QxE4VVi8tQ,5.0,9958,565
MN3aFR0E01dkTwIf8u_GdA,O6hY9yenifuRXrpc4TfgsQ,4.0,4005,345
VEj1OuO6QrQMXFhuMZJ8cQ,NVN_23yYJDf_RAinqFICDA,4.0,5568,340
-xTAmslBDE_mq-6Kbxieag,7yPzOek7Af2dKWGYKpcHWA,4.0,153,124
CcqpZkc5ngs88akzQ0rFHg,7yPzOek7Af2dKWGYKpcHWA,4.0,2324,124
EUw0l5UC1_Xv6Q_6TtOdEA,Dv6RfXLYe1atjgz3Xf4GGw,4.0,2659,201
zJgXdE_mH1EC4bFFhHBz7g,rQW9iupvhk6ScPn2VPNLVQ,3.0,10967,768
qJ2XXYppJ7ljqkOqalrxOA,hUX1yAimviBIhb21D_KtcQ,3.0,9390,625
TPf6jvHI4z0kNwA6ls2EEQ,eaDZlSuVS0EY67Ke6pRP6Q,3.0,5267,580
Ua6uWRNoysOuzQJVTBl9mg,QWqKTWQ2OiDgo3dzNkpung,5.0,5460,376
k_muz40jJaiY1PVga6NDXA,htO_nlxkEsYHzDrtbiUxew,4.0,8403,634
nb_rhj6Wv_1n0P3P9jVRNw,OHzX-ZD9qyoeoxR8Z0dlIA,5.0,8931,348
wR7pFcXKEVvpr2pM4jr50A,VJEzpfLs_Jnzgqh5A_FVTg,1.0,10466,438
oSeE_p_gYxI82APPWJhJjg,Oun4NN-u5yiHIxDqtJnxgA,4.0,9091,357
--4AjktZiHowEIBCMd4CZA,EtKSTHV5Qx_Q7Aur9o4kQQ,4.0,0,215
Yr7tRi9b5-Na2FWP5ihG2A,BWITd9JUXP3gSi1z3Y-z8g,4.0,6187,172
Kj-u8Yq1d3mLKitWsDAxpg,YtSqYv1Q_pOltsVPSx54SA,4.0,3728,477
32-5J6L7MDrGmbnWXobFmA,3lBooCffgkW7tVSG5kILBA,4.0,698,70
WY7B-CBeLbjjDBr73l4k-A,uIZwBkvWicqyWraXvYOipw,1.0,5782,804
kaa6i7IHMyYIom7DIul9EQ,EtKSTHV5Qx_Q7Aur9o4kQQ,5.0,8405,215
Iw2yGSfnlhuxOTSvF2zKpw,O6hY9yenifuRXrpc4TfgsQ,2.0,3433,345
